playerId,baseballReferenceId,franchiseId,season,battingWar,opsPlus,pitchingWar,eraPlus,sourceLabel,battingSourceUrl,pitchingSourceUrl,verifiedAt
mumphje01,mumphje01,nyy,1983,0.9,106,,,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
murrada01,murrada01,nyy,1983,,,-0.5,87,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
nettlgr01,nettlgr01,nyy,1983,2.5,119,,,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
pinielo01,pinielo01,nyy,1983,-0.1,110,,,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
randowi01,randowi01,nyy,1983,3.4,100,,,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
rawlesh01,rawlesh01,nyy,1983,,,3.2,103,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
righeda01,righeda01,nyy,1983,,,3.6,113,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
roberan01,roberan01,nyy,1983,1.1,67,,,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
shirlbo01,shirlbo01,nyy,1983,,,-0.6,76,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
smallro02,smallro02,nyy,1983,2.9,126,,,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
